Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-38-4626-11A-01R-1758-07	0.02497892923334	0	0.0018218501819398	0.0391382025951737	0	0.113903741788002	0	0.0019973083989371	0	0	0.0033444579489144	0.0297263276056485	0.0489795295186332	0.356561067992942	0	0.266543066832324	0.00338145751132837	0.0423538758256716	0	0.0493561731919429	0	0.017914011375203	0.002	0.381904835337582	0.934688758418147
TCGA-44-5645-11A-01R-1628-07	0.0961421701678209	0	0.0124394213133163	0.136327211838429	0	0.189594966227111	0	0	0	0	0.0398862513785543	0.0426560457479384	0.0444284227485044	0.123650219914625	0.0140891877698873	0.146212102159694	0.0029704638244461	0.0058735417507362	0.121645665638363	0	0	0.0240843295205747	0.003	0.354965718434343	0.935442904760743
TCGA-44-2668-11A-01R-1758-07	0.078799270426257	0	0.00681728118297858	0.110170133696943	0	0.0820961715956426	0.0168439088381107	0	0	0	0.0158972185401275	0	0.0936913301456858	0.213787856683292	0.0042364447446683	0.234166789408239	0.014810793228547	0.00642483204477112	0.0626551417455663	0	0	0.0596028277191708	0.005	0.308830764248804	0.958583872177642
TCGA-91-6829-11A-01R-1858-07	0.0320575198153137	0	0.00790359805937743	0.0782400477385775	0	0.0377387468193607	0	0.0151595111310939	0.0228315197887334	0	0	0.0359123032475566	0.0401838215250368	0.414727027296595	0.00988267409962478	0.107851753377088	0.0680071247901846	0.00193507829129266	0.0931715726100776	0	0.00809693760097185	0.0263007638091148	0.002	0.39619556473784	0.923879188099225
TCGA-91-6849-11A-01R-1949-07	0.113610511286987	0	0.0332592216690275	0.0365934278158839	0	0.254791498129466	0	0	0	0	0.0797388853527129	0.0488070274856188	0.0534763999795761	0.091720301427665	0.0391220103696565	0.094392407504963	0.00570800807081695	0.0293413024467715	0.0927597387922602	0	0	0.0266792596685948	0.031	0.205035906834913	0.997118503902478
TCGA-50-5935-11A-01R-1858-07	0.0271506855985068	0	0.00172230034068373	0.0535831935985391	0	0.199702176970392	0	0	0	0	0.0626265073708979	0.00117822600359046	0.0376556706289812	0.174209790059245	0.0820337230002856	0.204379851460305	0.0294289476731756	0	0.119242270127991	0	0.00158844359798668	0.00549821356942075	0.01	0.261593116443315	0.97598235126974
TCGA-49-6744-11A-01R-1858-07	0.0465729443534046	0	0.0103642477582519	0.0795552608243869	0	0.144068683611142	0.00344398406391761	0	0	0	0.0363283197993005	0	0.00917071470170787	0.213277953955996	0.00052926670269411	0.232200878585983	0.00412697232554335	0.0429762000597378	0.144834057190716	0	0.0259224891957432	0.00662802687147484	0.005	0.311518288400659	0.955737692461781
TCGA-49-6745-11A-01R-1858-07	0.00522925855905875	0	0.000697007548339296	0.0546705517602428	0	0.21361370670212	0.00487858492865893	0.00268050662433189	0	0	0.0567484641809323	0.0232533131069429	0.0422061112045666	0.100622909431258	0.0718869838671488	0.198159876421407	0.0752645755922848	0	0.118690264126985	0	0.01241713180216	0.0189807541435632	0.001	0.420025163097289	0.907156893371412
TCGA-91-6836-11A-01R-1858-07	0.0183104520980635	0	0.00270838234303257	0.132360619049727	0	0.153866532426046	0.0202763346889005	0	0	0	0.0474441297550181	0	0.0256974273556051	0.227815994908751	0.00588761973698985	0.247401301234741	0.00912652567145167	0.0202542049050898	0.0486222427800928	0	0.0137775525857781	0.0264506804607135	0.003	0.349203508998753	0.94119438625573
TCGA-55-6968-11A-01R-1949-07	0.0528188374424595	0.0430127019176939	0.0174394751140765	0.0836820564671385	0	0.0436151645583339	0	0.0466627103633806	0.0063113627146981	0	0	0.0577757371591769	0.0829303435832156	0.29432074105872	0.0159008030200348	0.114409799573905	0.0168029330615557	0.00196111028574955	0.102361706990447	0	0.00883224773001108	0.0111622689594034	0.004	0.319285985737642	0.95335895793383
TCGA-44-6778-11A-01R-1858-07	0.0395755670179646	0	0.00331374836432421	0.0584251928259651	0	0.275868022033883	0	0.0116184078466499	0	0	0	0.0187723260384759	0.0840690510108747	0.0947885669864091	0.0681374217817229	0.0949594050340904	0.00995914894911918	0.0124788243086388	0	0.121817694323983	0.0101680562980123	0.0960485671798867	0.026	0.215963213051651	0.998524417018176
TCGA-55-6982-11A-01R-1949-07	0.0443126168430498	0	0.00471520482762071	0.187955840360668	0	0.215010677406541	0.00206393793300954	0	0	0	0.00957889488242163	0.0151432560981874	0.0496286286004576	0.12123247474857	0.0943580387810364	0.138522349820598	0.0166768342937395	0.0137410343634147	0.0857920005616597	0	0	0.00126821047902518	0.003	0.33986610192015	0.943321361456455
TCGA-55-6984-11A-01R-1949-07	0	0	2.45364447346703e-05	0.0547311093410948	0	0.13389000230419	0	0.00919709192467133	0	0	0	0.0214843997396891	0.0281723128862032	0.137968852898973	0.0151712225384851	0.333979227133712	0.0363196796047687	0.0509124959980196	0.107610621307698	0	0.0647608546608066	0.005777593216954	0.00900000000000001	0.26482430600315	0.977415936305011
TCGA-55-6981-11A-01R-1949-07	0.0111340464421668	0	0	0.032270007779595	0	0.134254770381146	0	0.00042679868741529	0	0	0.00601211900522629	0.0222645317539743	0.0330710009778009	0.233986126101625	0.0356438286287629	0.311745716077505	0.0321207636260753	0	0.100603465330265	0	0.0297028295114162	0.0167639956970255	0.017	0.239533720648336	0.995260490244475
TCGA-91-6835-11A-01R-1858-07	0.0607556541766736	0	0.000190598410854029	0.10034160905446	0	0.157061364801751	0.00271481218700979	0.0439741503288079	0	0	0	0.00365331198030912	0.0197945713343704	0.0448844163566185	0.140495956671252	0.224174014661489	0.0505912703703221	0.00390183474576992	0.143579354447168	0	0	0.00388708047314488	0.00700000000000001	0.282194975497341	0.967406204723713
TCGA-44-6776-11A-01R-1858-07	0.00655038656551037	0	0	0.075213141430318	0	0.211291565044274	0	0	0	0	0.0656138635198362	0.03143797604596	0.0253953149217533	0.156018496452801	0.015510129308767	0.178237988282551	0.000935982291712692	0.122604121948002	0.0656206493089942	0	0.0455703848795204	0	0.05	0.166159001413203	1.01731267570557
TCGA-44-2665-11A-01R-1758-07	0.0757449971290054	0	0.00216460303842328	0.053424794991713	0	0.0867821620234259	0	0.00314232982856053	0.0135806167557602	0	0.0199002398205696	0.0274617846862832	0.0905588806502142	0.12018884633279	0.020944224376907	0.30260600664883	0.00917710052981305	0	0.126237591232648	0	0.0012065962129429	0.0468792257421137	0.016	0.246384341800709	0.982540167081901
TCGA-91-6847-11A-01R-1949-07	0.0709024664001829	0	0.0184119624673007	0.0463430216125132	0	0.137440959967862	0	0.00765910597898526	0	0	0.025445582271336	0.0111669287802735	0.0411756616691703	0.278747900695906	0	0.219569357407716	0	0.0302009484402959	0.0675531051674328	0	0	0.0453829991410252	0.04	0.184854552859889	1.0168022266058
TCGA-44-3396-11A-01R-1758-07	0.0436916364438025	0	0.00147153235815446	0.122704145904578	0	0.230942654845365	0.00538606958710829	0	0	0	0	0.0237267173082169	0.0492020332002395	0.102890786507019	0.0537286336626937	0.194184606533569	0.0151115647283308	0.0211391359286823	0.0991865593594261	0	0	0.0366339236328145	0.004	0.323092889642726	0.948825821170706
TCGA-50-5931-11A-01R-1858-07	0.00510272472517563	0.0141876585232132	0.000183358571332085	0.0752714313720281	0	0.185081366007324	0	0	0	0	0	0.0775033539054584	0.00948318856342962	0.222028938068287	0.00382114248773494	0.221771673985544	0	0.0854319498332791	0	0.0968511212723615	0	0.00328209268483258	0.024	0.225549215977423	1.00271797772734
TCGA-44-6145-11A-01R-1858-07	0.0343170060982324	0	0.0168290913449041	0.0752155724924619	0	0.233884158796045	0.0152905517889644	0	0	0	0.0362497260106479	0.0058371070837574	0.0620564629698683	0.191210292424699	0.00868631306154216	0.138701276888003	0	0.0511159107520101	0.0799714704581874	0	0.0111911674113412	0.0394438924193345	0.051	0.165396204738371	1.01390354386545
TCGA-44-6144-11A-01R-1755-07	0.0225326427123586	0	0.0014198657158592	0.0616045574200163	0	0.237815912030569	0	0	0	0	0.0361012522048047	0	0.0273831812324967	0.209192311907796	0.044412692864701	0.20704186771447	0.0718028912044719	0.0176771595953087	0.0463523971799605	0	0.00696905875115089	0.00969420946603703	0.002	0.358342179645456	0.935744939304217
TCGA-55-6970-11A-01R-1949-07	0.0673686222880872	0	0.00814105110967866	0.0759171344761639	0	0.314379857303723	0.0171169327900079	0.00172147878122413	0	0	0.0274612377551087	0	0.049206339598262	0.12324721139706	0.0993135883682593	0.108426252990363	0.00189787597608664	0.0169846943234461	0.0626054148376298	0	0	0.0262123080048987	0.00600000000000001	0.284028229585079	0.967402021199619
TCGA-55-6969-11A-01R-1949-07	0.0533671674214988	0.0735022476147298	0	0.0854069059876536	0	0.144672786892906	0	0.0017731680867983	0	0	0.0510615410891458	0	0.0519655480058886	0.195289129714958	0.0170681330867918	0.197743715596001	0	0.0284321257999628	0.0783143225592115	0	0.000994197127164572	0.0204090110172886	0.018	0.236481218010726	0.985561245372482
TCGA-91-6828-11A-01R-1858-07	0.00639426583080009	0	0.00212920364728098	0.0658141792025189	0	0.251635188272436	0.016839890271579	0	0	0	0.0866070921999457	0	0.0721108440262384	0.148504332308792	0.021517597407812	0.128519973336985	0	0.0482186349245287	0.0540442327384724	0	0	0.0976645658326111	0.046	0.175401565871559	1.01405025986658
TCGA-38-4627-11A-01R-1758-07	0.041161608388024	0	0.00839052909334079	0.0740396900409928	0	0.216918945323862	0	0	0	0.0221017139692692	0.0184574701172177	0.00185847774864262	0.112221343961885	0.122363838303373	0.024991717149258	0.185599186033851	0.0116268321871278	0.0447532595603211	0.107665839816267	0	0	0.00784954830656754	0.002	0.399055389784055	0.916468676500308
TCGA-49-4512-11A-01R-1858-07	0.0406687279976302	0	0.0451887479553063	0.0416641661564731	0	0.186659634053031	0.00390653312035562	0	0	0	0	0.0434016952622809	0.00774012672061978	0.0637467200464383	0.078405310009425	0.209823312010785	0.122609663073215	0	0.122811040570738	0	0.0138976418926719	0.0194766811310291	0.003	0.337217229949287	0.94159630557701
