Gene	Num
TP53	249
TTN	229
MUC16	223
RYR2	188
CSMD3	185
LRP1B	157
ZFHX4	154
USH2A	149
KRAS	138
XIRP2	126
FLG	118
SPTA1	115
NAV3	102
ZNF536	99
COL11A1	98
FAT3	98
ANK2	95
PCDH15	95
CSMD1	95
KEAP1	93
MUC17	93
APOB	91
ADAMTS12	86
ADGRG4	86
PCLO	85
TNR	84
RP1L1	84
NPAP1	83
PAPPA2	82
DNAH9	81
PCDH11X	81
ZNF804A	79
RYR1	78
RYR3	77
ERICH3	77
FBN2	77
CDH10	76
PTPRD	75
DMD	75
HMCN1	73
FAT4	73
SYNE1	71
NRXN1	71
PEG3	71
SI	70
VCAN	70
MXRA5	69
EGFR	68
FAM135B	68
NALCN	68
CACNA1E	67
RELN	67
CNTNAP2	66
TSHZ3	65
ASTN1	65
LRRC7	65
PXDNL	65
AHNAK2	65
ABCA13	64
ASXL3	64
CSMD2	63
PRDM9	62
FLG2	62
NLRP3	61
PKHD1	61
LAMA2	60
OBSCN	60
ZNF831	59
CNTNAP5	59
TNN	59
STK11	59
LRP2	59
SORCS1	59
ASPM	58
CPS1	58
HERC2	58
MYH8	58
AHNAK	57
PCDH10	57
RIMS2	57
PKHD1L1	57
CRB1	56
SETBP1	56
MYH1	56
UNC79	56
TENM1	55
COL22A1	55
MYH2	55
CDH12	54
EPHA5	54
PRUNE2	54
DNAH8	54
BRINP3	54
MAGEC1	54
TLR4	54
COL12A1	54
COL6A3	53
FAM47C	53
FMN2	53
ADAMTS20	52
SLITRK2	52
TAF1L	52
ANKRD30A	52
TG	51
FAM47A	51
COL19A1	51
SYNE2	51
HYDIN	51
ADGRB3	51
ASTN2	51
MRC1	51
CTNNA2	51
CUBN	50
KIF2B	50
TIAM1	50
PCDH17	50
SPATA31D1	50
FAT1	50
CTNND2	49
ZNF521	49
ZNF208	49
PTPRT	49
MYH7	49
SPATA31A6	49
PTPRZ1	49
LAMA1	49
DST	49
DNAH5	49
AFF2	49
ADGRL3	49
PLEC	48
TEX15	48
COL3A1	48
MUC5B	48
HCN1	48
SLC8A1	48
NEB	48
CDH9	48
DNAH3	48
SNTG1	48
DOCK2	48
KCNT2	48
ZNF804B	47
LPPR4	47
EPHA6	47
SVEP1	47
FAM47B	47
KIAA1109	47
TRPS1	47
PKD1L1	47
DCAF4L2	46
ZP4	46
GPR158	46
LRFN5	46
TENM2	46
HRNR	46
DCDC1	45
GRIN2B	45
CDH18	45
NCKAP5	45
TENM3	45
THSD7A	45
SLIT2	45
LTBP1	45
DCHS2	45
ROBO2	45
HECW1	44
NF1	44
DNAH11	44
DNAH7	44
SCN3A	43
ZAN	43
SLITRK1	43
NLRP14	43
SCN10A	43
COL5A2	43
POM121L12	42
GRIN2A	42
SSPO	42
LRRTM4	42
UNC13C	42
CDH8	42
THSD7B	42
NOTCH4	42
HGF	42
CNTNAP4	42
OTOGL	42
MYH4	42
NELL1	41
RGPD4	41
GRM8	41
DSCAM	41
NLGN4X	41
ATM	41
SLITRK4	41
MYO18B	41
COL14A1	41
TMTC1	41
LRRIQ1	41
GRID2	41
CDH7	41
PLXNA4	41
SLC39A12	41
ZFPM2	41
SLITRK3	41
LRRC4C	41
MMRN1	41
SPHKAP	40
SPATA31A1	40
LAMB4	40
EPHA3	40
PTPRB	40
MROH2B	40
NRXN3	40
EPHB6	40
ABCB5	40
KMT2C	40
SPEF2	40
ADAMTS2	39
NLRP5	39
TRPA1	39
ITGAX	39
KDR	39
ADAMTSL3	39
ATRNL1	39
SORCS3	39
MGAM	39
LPA	39
RP1	38
CFAP47	38
LCT	38
GRM5	38
PPP1R3A	38
CHL1	38
BIRC6	38
SALL1	38
KIAA1211	38
DMBT1	38
FSTL5	38
OR4A15	37
SPEG	37
KCNB2	37
EYS	37
HEPH	37
GRM1	37
KLHL1	37
PCDHGA3	37
CNTN5	37
MYH6	37
KALRN	37
TRPC4	37
ITGA8	37
OVCH1	37
COL6A6	37
FLNC	36
MACF1	36
KCNH8	36
PCDHGA2	36
LYST	36
TMPRSS15	36
ADGRL2	36
MDGA2	36
WDFY3	36
ADAMTS16	36
PTCHD2	36
PLCB1	36
PCDHB4	36
CLCN1	35
SCN2A	35
F8	35
BCORL1	35
TMEM132D	35
MMP16	35
PCDHB8	35
NTRK3	35
ZNF423	35
ACAN	35
KCNH5	35
KIAA1549L	35
STAB2	35
ACTN2	35
TRRAP	35
ZEB2	35
BOD1L1	35
POTEE	35
DCAF12L1	34
SIPA1L2	34
ERBB4	34
OR4C15	34
DUSP27	34
OR2W3	34
ZNF676	34
ZNF479	34
MYT1L	34
PDGFRA	34
EPHA7	34
TPTE	34
CACNA1C	34
CACNA2D1	34
ADGRV1	34
ANK1	34
